id,name,address
24,CO7 6LW,"Upper Street, Stratford St Mary, COLCHESTER, Essex"
30,CO10 7SA,"Egremont Street, Glemsford, SUDBURY, Suffolk"
63,CO10 2EA,"7 Market Hill, SUDBURY, Suffolk"
64,CO7 6JS,"Lower Street, Stratford St Mary, COLCHESTER, Essex"
65,CO10 7RF,"Lion Road, Glemsford, SUDBURY, Suffolk"
85,IP9 1PU,"Bristol Hill, Shotley, IPSWICH, Suffolk"
101,IP9 1JW,"Pin Mill Road, Chelmondiston, IPSWICH, Suffolk"
126,CO7 6RA,"Heath Road, East Bergholt, COLCHESTER, Essex"
140,CO11 1PN,"The Bull Inn, The Street, Brantham, MANNINGTREE"
153,CO7 6UX,"The Grange Caravan Park, Straight Road, East Bergholt, COLCHESTER"
154,CO10 9JR,"Hall Street, Long Melford, SUDBURY, Suffolk"
197,CO11 1RE,"Cattawade Street, Brantham, MANNINGTREE, Essex"
230,IP7 5DD,"Eight Bells Public House, 90-92 Angel Street, Hadleigh, IPSWICH"
240,IP7 7AU,"The Swan Inn, The Street, Monks Eleigh, IPSWICH"
252,CO10 0HU,"63 Bures Road, Great Cornard, SUDBURY, Suffolk"
261,CO10 5ED,"Church Street, Groton, SUDBURY, Suffolk"
272,IP9 2TG,"Manningtree Road, Stutton, IPSWICH, Suffolk"
281,CO10 7RP,"25-27 Hunts Hill, Glemsford, SUDBURY, Suffolk"
294,CO10 1RF,"The Grover and Allen, 67-70 North Street, SUDBURY, Suffolk"
307,CO6 4PW,"Harrow Street, Leavenheath, COLCHESTER, Essex"
308,CO7 6RL,"Heath Road, East Bergholt, COLCHESTER, Essex"
396,IP7 7ED,"132 High Street, Bildeston, IPSWICH, Suffolk"
397,CO10 0JE,"115 Bures Road, Great Cornard, SUDBURY, Suffolk"
429,CO10 9JL,"Ex-Service & Social Club, Hall Street, Long Melford, SUDBURY"
441,CO10 2RZ,"Cats Lane, Great Cornard, SUDBURY, Suffolk"
498,CO10 1RE,"North Street, SUDBURY, Suffolk"
500,CO10 1JD,"Flat 1, Croft Road, SUDBURY, Suffolk"
516,IP2 8ND,"Bourne Hill, Wherstead, IPSWICH, Suffolk"
535,IP30 0HJ,"Great Green, Cockfield, BURY ST EDMUNDS, Suffolk"
553,CO10 1JB,"New Street, SUDBURY, Suffolk"
561,CO7 6PU,"The Row, Wenham Magna, COLCHESTER, Essex"
562,IP7 5LZ,"The Street, Layham, IPSWICH, Suffolk"
569,IP9 1DX,"Main Road, Chelmondiston, IPSWICH, Suffolk"
574,IP7 6PA,"The Street, Elmsett, IPSWICH, Suffolk"
577,IP9 1AT,"Cat House Lane, Woolverstone, IPSWICH, Suffolk"
578,CO7 6XA,"East End Lane, East Bergholt, COLCHESTER, Essex"
601,IP9 1QJ,"Shotley Marina, Shotley, IPSWICH, Suffolk"
606,CO10 5LJ,"The Street, Assington, SUDBURY, Suffolk"
665,CO10 2SP,"54 Station Road, SUDBURY, Suffolk"
679,CO7 6JR,"Lower Street, Stratford St Mary, COLCHESTER, Essex"
698,CO6 4JL,"26 Court Street, Nayland with Wissington, COLCHESTER, Essex"
699,CO10 9QZ,"The Angel, Market Place, Lavenham, SUDBURY"
700,CO6 4SA,"Polstead Street, Stoke by Nayland, COLCHESTER, Essex"
703,CO10 1JS,"61-65 Melford Road, SUDBURY, Suffolk"
704,IP8 3AR,"Hadleigh Road, Sproughton, IPSWICH, Suffolk"
705,IP7 6DY,"The Bell Inn, The Street, Kersey, IPSWICH"
708,CO6 5BZ,"Bower House Tye, Polstead, COLCHESTER, Essex"
709,CO10 2TP,"East Street, SUDBURY, Suffolk"
713,CO10 0JQ,"The Brook Inn, 241 Bures Road, Great Cornard, SUDBURY"
714,IP8 3HR,"The Street, Copdock And Washbrook, IPSWICH, Suffolk"
716,IP29 4HU,"The Bush, The Street, Shimpling, BURY ST EDMUNDS"
718,IP9 2DW,"Capel Road, Bentley, IPSWICH, Suffolk"
722,CO10 9PB,"Lavenham Road, Brent Eleigh, SUDBURY, Suffolk"
723,CO10 9SA,"The Cock Inn, Church Street, Lavenham, SUDBURY"
